epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,54.0546,1.23523,0.91596,1.02906,0.84738,0.58256,0.59095,0.28192,2.40415,1.40404,1.45758,0.000990365,0.000990365,0.000990365
43,55.273,1.22556,0.90414,1.02098,0.63922,0.52045,0.50772,0.28995,2.28855,1.30579,1.34839,0.000973861,0.000973861,0.000973861
44,56.5785,1.17837,0.86194,0.99122,0.72144,0.55357,0.53058,0.25535,2.39631,1.23796,1.44716,0.000957358,0.000957358,0.000957358
45,57.8269,1.27597,0.89497,1.01528,0.80029,0.55357,0.52214,0.29607,2.40001,1.26108,1.43972,0.000940855,0.000940855,0.000940855
46,59.0474,1.21707,0.83771,1.00489,0.8378,0.41071,0.45383,0.27353,2.33491,1.40216,1.43383,0.000924352,0.000924352,0.000924352
47,60.2974,1.21229,0.87856,1.00179,0.52772,0.51786,0.5345,0.31314,2.20163,1.51536,1.4122,0.000907848,0.000907848,0.000907848
48,61.5198,1.19373,0.86248,0.98714,0.57835,0.51786,0.51338,0.27649,2.16391,1.48401,1.37696,0.000891345,0.000891345,0.000891345
49,62.7427,1.22119,0.8422,1.0004,0.6547,0.51786,0.53452,0.27457,2.23955,1.38934,1.3639,0.000874842,0.000874842,0.000874842
50,63.9829,1.18833,0.81997,0.98829,0.54717,0.48214,0.45828,0.26056,2.40129,1.23727,1.49199,0.000858338,0.000858338,0.000858338
51,65.214,1.12548,0.81068,1.00045,0.54172,0.51786,0.46386,0.2547,2.36341,1.36196,1.42221,0.000841835,0.000841835,0.000841835
52,66.4417,1.0927,0.76302,0.97149,0.57865,0.51786,0.46553,0.26383,2.39749,1.31247,1.44284,0.000825332,0.000825332,0.000825332
53,67.6862,1.14954,0.77146,0.97944,0.67967,0.51786,0.47499,0.26824,2.35947,1.37715,1.42872,0.000808828,0.000808828,0.000808828
54,68.9012,1.11496,0.75784,0.98094,0.78774,0.625,0.61554,0.27552,2.3775,1.30839,1.45854,0.000792325,0.000792325,0.000792325
55,70.1257,1.18124,0.77634,0.97939,0.86577,0.54837,0.56938,0.2954,2.28308,1.32875,1.44097,0.000775822,0.000775822,0.000775822
