epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4695.28,1.26871,1.11711,1.43232,0.42325,0.74368,0.62731,0.28204,1.73758,1.11923,1.62465,0.005842,0.005842,0.005842
44,4810.63,1.26382,1.11475,1.42966,0.39332,0.74368,0.58576,0.2727,1.73548,1.1236,1.6174,0.005743,0.005743,0.005743
45,4923.5,1.263,1.10259,1.42914,0.42687,0.74472,0.71764,0.28807,1.74522,1.11717,1.62362,0.005644,0.005644,0.005644
46,5039.29,1.25696,1.10687,1.42779,0.44069,0.74577,0.7186,0.29461,1.73178,1.1087,1.61757,0.005545,0.005545,0.005545
47,5168.85,1.25092,1.0917,1.42064,0.4564,0.74551,0.71975,0.35595,1.7204,1.09971,1.61002,0.005446,0.005446,0.005446
48,5280.33,1.24877,1.08115,1.41818,0.43704,0.74707,0.72292,0.35127,1.70661,1.09527,1.599,0.005347,0.005347,0.005347
49,5385.91,1.24614,1.08077,1.4133,0.44827,0.75072,0.63497,0.29761,1.69872,1.08773,1.59032,0.005248,0.005248,0.005248
50,5491.22,1.23738,1.07145,1.40926,0.49069,0.75176,0.6383,0.30601,1.69007,1.08228,1.58504,0.005149,0.005149,0.005149
51,5600.55,1.23845,1.07081,1.40874,0.45534,0.7502,0.6669,0.3245,1.6909,1.08079,1.58472,0.00505,0.00505,0.00505
52,5707.15,1.23852,1.06687,1.40597,0.46127,0.74941,0.66755,0.3305,1.69165,1.07673,1.5853,0.004951,0.004951,0.004951
53,5813.97,1.22423,1.05444,1.39969,0.47866,0.75072,0.67026,0.33137,1.69495,1.07372,1.58401,0.004852,0.004852,0.004852
54,5920.54,1.22732,1.05519,1.40312,0.46981,0.74915,0.66952,0.31862,1.69868,1.07102,1.58629,0.004753,0.004753,0.004753
55,6027.5,1.22561,1.05452,1.39756,0.46436,0.75124,0.66976,0.32429,1.70155,1.0699,1.58883,0.004654,0.004654,0.004654
56,6142.51,1.22414,1.04116,1.39793,0.46302,0.75098,0.70043,0.33015,1.70634,1.06878,1.59196,0.004555,0.004555,0.004555
57,6260.17,1.21454,1.03259,1.39107,0.47125,0.75098,0.70146,0.33332,1.70855,1.06851,1.59297,0.004456,0.004456,0.004456
58,6397.48,1.20915,1.02456,1.38359,0.46867,0.74861,0.73114,0.34474,1.71206,1.06907,1.5959,0.004357,0.004357,0.004357
59,6544.43,1.2061,1.02015,1.38107,0.47452,0.74603,0.69724,0.32207,1.7158,1.06874,1.59875,0.004258,0.004258,0.004258
60,6690.95,1.19934,1.01066,1.37929,0.48321,0.74624,0.72872,0.34009,1.71835,1.06715,1.60142,0.004159,0.004159,0.004159
61,6834.43,1.20448,1.01575,1.37846,0.52443,0.74518,0.67906,0.32547,1.71718,1.06616,1.5987,0.00406,0.00406,0.00406
62,6951.7,1.19522,1.00556,1.37283,0.52185,0.74656,0.67974,0.32309,1.71828,1.06471,1.59899,0.003961,0.003961,0.003961
